franchisesession,itemmodule,productcode,publicid,privateid,productname,hsncode,defaultunit,taxpref,intratax,intertax,createdby,createdon,createdid,pvisiblity,productid,createdid,itemmodule,salename,salemrp,salecost,saledescription,productid,createdid,itemmodule
1,Products,2,PRO2,RajPRO2,6 Inch Dia * 6 1/2 Feet Length (150mm * 2.0 Meter) RCC Pipe,68101190,PCS,1,19,10,rajiniassociates@gmail.com,02-02-2023 17:48,1,PUBLIC,2,1,Products,SELLING PRICE 2,100,0,,2,1,Products
1,Products,3,PRO3,RajPRO3,9 Inch Dia * 6 1/2 Feet (225mm * 2.0 Meter) NP2 RCC Pipe,68101190,PCS,1,19,10,rajiniassociates@gmail.com,02-02-2023 17:48,1,PUBLIC,3,1,Products,SELLING PRICE 3,100,0,,3,1,Products
1,Products,4,PRO4,RajPRO4,12 Inch Dia * 6 1/2 Feet Length (300mm * 2.0 Meter) NP2 RCC Pipe,68101190,PCS,1,19,10,rajiniassociates@gmail.com,02-02-2023 17:48,1,PUBLIC,4,1,Products,SELLING PRICE 4,100,0,,4,1,Products
1,Products,5,PRO5,RajPRO5,12 Inch Dia * 8 1/4 Feet Length (300mm * 2.50 Meter) NP2 RCC Pipe,68101190,PCS,1,19,10,rajiniassociates@gmail.com,02-02-2023 17:48,1,PUBLIC,5,1,Products,SELLING PRICE 5,100,0,,5,1,Products
1,Products,6,PRO6,RajPRO6,12 Inch Dia * 8 1/4 Feet Length (300mm * 2.50 Meter) NP3 RCC Pipe,68101190,PCS,1,19,10,rajiniassociates@gmail.com,02-02-2023 17:48,1,PUBLIC,6,1,Products,SELLING PRICE 6,100,0,,6,1,Products
1,Products,7,PRO7,RajPRO7,18 Inch Dia * 8 1/4 Feet Length (450mm * 2.50 Meter) NP2 RCC Pipe,68101190,PCS,1,19,10,rajiniassociates@gmail.com,02-02-2023 17:48,1,PUBLIC,7,1,Products,SELLING PRICE 7,100,0,,7,1,Products
1,Products,8,PRO8,RajPRO8,18 Inch Dia * 8 1/4 Feet Length (450mm * 2.50 Meter) NP3 RCC Pipe,68101190,PCS,1,19,10,rajiniassociates@gmail.com,02-02-2023 17:48,1,PUBLIC,8,1,Products,SELLING PRICE 8,100,0,,8,1,Products
1,Products,9,PRO9,RajPRO9,24 Inch Dia * 8 1/4 Feet Length (600mm * 2.50 Meter) NP2 RCC Pipe,68101190,PCS,1,19,10,rajiniassociates@gmail.com,02-02-2023 17:48,1,PUBLIC,9,1,Products,SELLING PRICE 9,100,0,,9,1,Products
1,Products,10,PRO10,RajPRO10,24 Inch Dia * 8 1/4 Feet Length (600mm * 2.50 Meter) NP3 RCC Pipe,68101190,PCS,1,19,10,rajiniassociates@gmail.com,02-02-2023 17:48,1,PUBLIC,10,1,Products,SELLING PRICE 10,100,0,,10,1,Products
1,Products,11,PRO11,RajPRO11,30 Inch Dia * 8 1/4 Feet Length (750mm * 2.50 Meter) NP2 RCC Pipe,68101190,PCS,1,19,10,rajiniassociates@gmail.com,02-02-2023 17:48,1,PUBLIC,11,1,Products,SELLING PRICE 11,100,0,,11,1,Products
1,Products,12,PRO12,RajPRO12,36 Inch Dia * 8 1/4 Feet Length (900mm * 2.50 Meter) NP2 RCC Pipe,68101190,PCS,1,19,10,rajiniassociates@gmail.com,02-02-2023 17:48,1,PUBLIC,12,1,Products,SELLING PRICE 12,100,0,,12,1,Products
