franchisesession,createdon,createdby,createdid,moduletype,customercode,publicid,privateid,primarysalutation,name,customername,billstreet,billcity,billstate,billpincode,billcountry,sameasbilling,shipstreet,shipcity,shipstate,shippincode,shipcountry,mobile,email,website,workphone,gstrtype,gstin,placeos,cvisiblity
1,03-02-2023 16:26,rajiniassociates@gmail.com,1,Vendors,2,VEN2,RajVEN2,Ms.,Southland Construction India PVT LTD,Southland Construction India PVT LTD,"7 A/B BKR Nagar,Sathy Road,",Coimbatore,Tamilnadu,641012,India,1,"7 A/B BKR Nagar,Sathy Road,",Coimbatore,Tamilnadu,641012,India,9443348818,unni.kreshnan@gmail.com,www.southlandgroup.in,4222520170,Registered Business - Regular,33AAICS1899Q1ZH,TAMIL NADU (33),PRIVATE
1,03-02-2023 16:26,rajiniassociates@gmail.com,1,Vendors,3,VEN3,RajVEN3,Ms.,Southland Traders,Southland Traders,"#7 A/B, BKR Nagar, Shakthi Road, Gandhipuram,",Coimbatore,Tamilnadu,641012,India,1,"#7 A/B, BKR Nagar, Shakthi Road, Gandhipuram,",Coimbatore,Tamilnadu,641012,India,,,,,Registered Business - Regular,33AARFS4928A1Z7,TAMIL NADU (33),PRIVATE
1,03-02-2023 16:26,rajiniassociates@gmail.com,1,Vendors,4,VEN4,RajVEN4,Ms.,ESS ARR Distributors - CC DIV,ESS ARR Distributors - CC DIV,"65 - D Heber Road, Balaji Nagar, Beema Nagar,",Trichy,Tamilnadu,620001,,1,"65 - D Heber Road, Balaji Nagar, Beema Nagar,",Trichy,Tamilnadu,620001,,,,,4312416568,Registered Business - Regular,33AAAFE5603K1ZR,TAMIL NADU (33),PRIVATE
1,03-02-2023 16:26,rajiniassociates@gmail.com,1,Vendors,5,VEN5,RajVEN5,Ms.,Jothi RCC Spun Pipes,Jothi RCC Spun Pipes,"No. 91, NH-7, Bye Pass Road, Malayampalayam, Thalavapalayam (P.O)",Karur,Tamilnadu,639113,India,1,"No. 91, NH-7, Bye Pass Road, Malayampalayam, Thalavapalayam (P.O)",Karur,Tamilnadu,639113,India,9443340725,,,,Registered Business - Regular,33BIJPP0045E1ZN,TAMIL NADU (33),PRIVATE
1,03-02-2023 16:26,rajiniassociates@gmail.com,1,Vendors,6,VEN6,RajVEN6,Ms.,Krishna hollow block&rcc pipe,Krishna hollow block&rcc pipe,"AB nagar east,karur to trichy by pass road uppidamangalam, Po",Karur,Tamil Nadu,639114,India,1,"AB nagar east,karur to trichy by pass road uppidamangalam, Po",Karur,Tamil Nadu,639114,India,9843047088,,,,Registered Business - Regular,33EBJPK5371N1Z6,TAMIL NADU (33),PRIVATE
1,03-02-2023 16:26,rajiniassociates@gmail.com,1,Vendors,7,VEN7,RajVEN7,Ms.,A-1 R.C.C pipe company,A-1 R.C.C pipe company,"Balarajapuram,veerarakiyam Krishnarayapuram,",Karur,Tamil Nadu,639114,India,1,"Balarajapuram,veerarakiyam Krishnarayapuram,",Karur,Tamil Nadu,639114,India,9843037088,,,,Registered Business - Regular,33AADPN8024E1Z2,TAMIL NADU (33),PRIVATE
1,03-02-2023 16:26,rajiniassociates@gmail.com,1,Vendors,8,VEN8,RajVEN8,Ms.,Navie Teknokem,Navie Teknokem,"Geethanjali 178, DPF Street, Pappanaickenpalayam,",Coimbatore,Tamil Nadu,641037,India,1,"Geethanjali 178, DPF Street, Pappanaickenpalayam,",Coimbatore,Tamil Nadu,641037,India,9364448667,navietek@yahoo.co.in,,4222240815,Registered Business - Regular,33ABPPN7413C1ZT9,TAMIL NADU (33),PRIVATE
1,03-02-2023 16:26,rajiniassociates@gmail.com,1,Vendors,9,VEN9,RajVEN9,Ms.,Bostik India Private Limited,Bostik India Private Limited,"No.16 B&C,SY No.
311 & 312, KIADB ",Bangalore,Karnataka,560099,India,1,"No.16 B&C,SY No.
311 & 312, KIADB ",Bangalore,Karnataka,560099,India,,,,,Registered Business - Regular,29AABCB4627N1ZC,KARNATAKA (29),PRIVATE
1,03-02-2023 16:26,rajiniassociates@gmail.com,1,Vendors,10,VEN10,RajVEN10,Ms.,ARUL JOTHI PIPE WORKS,ARUL JOTHI PIPE WORKS,"102/4Balakumar nagar,Velampoondi,Dharapuram",dharapuram,Tamil Nadu,639201,India,1,"102/4Balakumar nagar,Velampoondi,Dharapuram",dharapuram,Tamil Nadu,639201,India,7373738363,aruljothi.pipeworks@gmail.com,,,Registered Business - Regular,33AAWFA5558P1ZL,TAMIL NADU (33),PRIVATE
1,03-02-2023 16:26,rajiniassociates@gmail.com,1,Vendors,11,VEN11,RajVEN11,Ms.,SRM CEMENT PIPES,SRM CEMENT PIPES,"119,selva Nagar,chinnadharapuram,aravaikurichi(tk)",Karur,TAMIL NADU,639202,INDIA,1,"119,selva Nagar,chinnadharapuram,aravaikurichi(tk)",Karur,TAMIL NADU,639202,INDIA,9443332204,srmcementpipes@gmail.com,,,Registered Business - Regular,33ADTPT7242B2ZD,TAMIL NADU (33),PRIVATE
1,03-02-2023 16:26,rajiniassociates@gmail.com,1,Vendors,12,VEN12,RajVEN12,Ms.,Dolphin Agencies,Dolphin Agencies,"B-89, SMK Flats, Parkview Road, Anna Nagar , Tennur East.",Trichy,TAMIL NADU,620017,INDIA,1,"B-89, SMK Flats, Parkview Road, Anna Nagar , Tennur East.",Trichy,TAMIL NADU,620017,INDIA,9443164548,,,4312794548,Registered Business - Regular,33AHDPA7261M1ZF,TAMIL NADU (33),PRIVATE
